GEO.id,GEO.id2,GEO.display-label,HD01_VD01
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",3530
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",3157
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",2572
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",3522
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",1175
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",1148
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",2476
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",2449
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",2120
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",1683
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",2506
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",2205
1400000US36047005400,36047005400,"Census Tract 54, Kings County, New York",3440
1400000US36047005601,36047005601,"Census Tract 56.01, Kings County, New York",2698
1400000US36047005602,36047005602,"Census Tract 56.02, Kings County, New York",1730
1400000US36047005800,36047005800,"Census Tract 58, Kings County, New York",3640
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",1265
1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",2435
1400000US36047006200,36047006200,"Census Tract 62, Kings County, New York",2779
1400000US36047006300,36047006300,"Census Tract 63, Kings County, New York",1955
1400000US36047006400,36047006400,"Census Tract 64, Kings County, New York",4033
1400000US36047006500,36047006500,"Census Tract 65, Kings County, New York",4737
1400000US36047006600,36047006600,"Census Tract 66, Kings County, New York",3644
1400000US36047006700,36047006700,"Census Tract 67, Kings County, New York",3199
1400000US36047006800,36047006800,"Census Tract 68, Kings County, New York",5233
1400000US36047006900,36047006900,"Census Tract 69, Kings County, New York",3423
1400000US36047007000,36047007000,"Census Tract 70, Kings County, New York",2911
